EmployeeID,Department,Diplomatic,Balanced,Sociable,Innovative,SalesRevenue,MarketShare,EBIT,ProjectDeliveryRate,RetentionRate,ComplianceRate,Performance_H1,Performance_H2,Tenure
1,Sales,50,50,50,50,300000,3.0,0,0,0,0,50,52,1
2,Sales,60,60,60,60,320000,3.2,0,0,0,0,60,62,2
3,Sales,70,70,70,70,350000,3.5,0,0,0,0,70,72,3
4,Sales,80,80,80,80,400000,4.0,0,0,0,0,80,82,4
5,Sales,90,90,90,90,450000,4.5,0,0,0,0,90,92,5
6,Sales,40,40,40,40,250000,2.5,0,0,0,0,40,42,1
7,Sales,50,50,50,50,300000,3.0,0,0,0,0,50,52,2
8,Sales,60,60,60,60,320000,3.2,0,0,0,0,60,62,3
9,Sales,70,70,70,70,350000,3.5,0,0,0,0,70,72,4
10,Sales,80,80,80,80,400000,4.0,0,0,0,0,80,82,5
11,Retail,50,50,50,50,300000,3.0,0,0,0,0,50,52,1
12,Retail,60,60,60,60,320000,3.2,0,0,0,0,60,62,2
13,Retail,70,70,70,70,350000,3.5,0,0,0,0,70,72,3
14,Retail,80,80,80,80,400000,4.0,0,0,0,0,80,82,4
15,Retail,90,90,90,90,450000,4.5,0,0,0,0,90,92,5
16,Retail,40,40,40,40,250000,2.5,0,0,0,0,40,42,1
17,Retail,50,50,50,50,300000,3.0,0,0,0,0,50,52,2
18,Retail,60,60,60,60,320000,3.2,0,0,0,0,60,62,3
19,Retail,70,70,70,70,350000,3.5,0,0,0,0,70,72,4
20,Retail,80,80,80,80,400000,4.0,0,0,0,0,80,82,5
21,Product,50,50,50,50,0,0,300000,50,0,0,50,52,1
22,Product,60,60,60,60,0,0,320000,60,0,0,60,62,2
23,Product,70,70,70,70,0,0,350000,70,0,0,70,72,3
24,Product,80,80,80,80,0,0,400000,80,0,0,80,82,4
25,Product,90,90,90,90,0,0,450000,90,0,0,90,92,5
26,Product,40,40,40,40,0,0,250000,40,0,0,40,42,1
27,Product,50,50,50,50,0,0,300000,50,0,0,50,52,2
28,Product,60,60,60,60,0,0,320000,60,0,0,60,62,3
29,Product,70,70,70,70,0,0,350000,70,0,0,70,72,4
30,Product,80,80,80,80,0,0,400000,80,0,0,80,82,5
31,HR,50,50,50,50,0,0,0,0,50,0,50,52,1
32,HR,60,60,60,60,0,0,0,0,60,0,60,62,2
33,HR,70,70,70,70,0,0,0,0,70,0,70,72,3
34,HR,80,80,80,80,0,0,0,0,80,0,80,82,4
35,HR,90,90,90,90,0,0,0,0,90,0,90,92,5
36,HR,40,40,40,40,0,0,0,0,40,0,40,42,1
37,HR,50,50,50,50,0,0,0,0,50,0,50,52,2
38,HR,60,60,60,60,0,0,0,0,60,0,60,62,3
39,HR,70,70,70,70,0,0,0,0,70,0,70,72,4
40,HR,80,80,80,80,0,0,0,0,80,0,80,82,5
41,Legal,50,50,50,50,0,0,0,0,0,50,50,52,1
42,Legal,60,60,60,60,0,0,0,0,0,60,60,62,2
43,Legal,70,70,70,70,0,0,0,0,0,70,70,72,3
44,Legal,80,80,80,80,0,0,0,0,0,80,80,82,4
45,Legal,90,90,90,90,0,0,0,0,0,90,90,92,5
46,Legal,40,40,40,40,0,0,0,0,0,40,40,42,1
47,Legal,50,50,50,50,0,0,0,0,0,50,50,52,2
48,Legal,60,60,60,60,0,0,0,0,0,60,60,62,3
49,Legal,70,70,70,70,0,0,0,0,0,70,70,72,4
50,Legal,80,80,80,80,0,0,0,0,0,80,80,82,5
51,Sales,30,30,30,30,200000,2.0,0,0,0,0,30,32,1
52,Sales,40,40,40,40,250000,2.5,0,0,0,0,40,42,2
53,Sales,50,50,50,50,300000,3.0,0,0,0,0,50,52,3
54,Retail,30,30,30,30,200000,2.0,0,0,0,0,30,32,1
55,Retail,40,40,40,40,250000,2.5,0,0,0,0,40,42,2
56,Retail,50,50,50,50,300000,3.0,0,0,0,0,50,52,3
57,Product,30,30,30,30,0,0,200000,30,0,0,30,32,1
58,Product,40,40,40,40,0,0,250000,40,0,0,40,42,2
59,Product,50,50,50,50,0,0,300000,50,0,0,50,52,3
60,HR,30,30,30,30,0,0,0,0,30,0,30,32,1
61,HR,40,40,40,40,0,0,0,0,40,0,40,42,2
62,HR,50,50,50,50,0,0,0,0,50,0,50,52,3
63,Legal,30,30,30,30,0,0,0,0,0,30,30,32,1
64,Legal,40,40,40,40,0,0,0,0,0,40,40,42,2
65,Legal,50,50,50,50,0,0,0,0,0,50,50,52,3
66,Sales,70,70,70,70,350000,3.5,0,0,0,0,70,72,3
67,Sales,80,80,80,80,400000,4.0,0,0,0,0,80,82,4
68,Sales,90,90,90,90,450000,4.5,0,0,0,0,90,92,5
69,Retail,70,70,70,70,350000,3.5,0,0,0,0,70,72,3
70,Retail,80,80,80,80,400000,4.0,0,0,0,0,80,82,4
71,Retail,90,90,90,90,450000,4.5,0,0,0,0,90,92,5
72,Product,70,70,70,70,0,0,350000,70,0,0,70,72,3
73,Product,80,80,80,80,0,0,400000,80,0,0,80,82,4
74,Product,90,90,90,90,0,0,450000,90,0,0,90,92,5
75,HR,70,70,70,70,0,0,0,0,70,0,70,72,3
76,HR,80,80,80,80,0,0,0,0,80,0,80,82,4
77,HR,90,90,90,90,0,0,0,0,90,0,90,92,5
78,Legal,70,70,70,70,0,0,0,0,0,70,70,72,3
79,Legal,80,80,80,80,0,0,0,0,0,80,80,82,4
80,Legal,90,90,90,90,0,0,0,0,0,90,90,92,5
81,Sales,60,60,60,60,320000,3.2,0,0,0,0,60,62,2
82,Sales,70,70,70,70,350000,3.5,0,0,0,0,70,72,3
83,Sales,80,80,80,80,400000,4.0,0,0,0,0,80,82,4
84,Retail,60,60,60,60,320000,3.2,0,0,0,0,60,62,2
85,Retail,70,70,70,70,350000,3.5,0,0,0,0,70,72,3
86,Retail,80,80,80,80,400000,4.0,0,0,0,0,80,82,4
87,Product,60,60,60,60,0,0,320000,60,0,0,60,62,2
88,Product,70,70,70,70,0,0,350000,70,0,0,70,72,3
89,Product,80,80,80,80,0,0,400000,80,0,0,80,82,4
90,HR,60,60,60,60,0,0,0,0,60,0,60,62,2
91,HR,70,70,70,70,0,0,0,0,70,0,70,72,3
92,HR,80,80,80,80,0,0,0,0,80,0,80,82,4
93,Legal,60,60,60,60,0,0,0,0,0,60,60,62,2
94,Legal,70,70,70,70,0,0,0,0,0,70,70,72,3
95,Legal,80,80,80,80,0,0,0,0,0,80,80,82,4
96,Sales,50,50,50,50,300000,3.0,0,0,0,0,50,52,2
97,Sales,60,60,60,60,320000,3.2,0,0,0,0,60,62,3
98,Sales,70,70,70,70,350000,3.5,0,0,0,0,70,72,4
99,Retail,50,50,50,50,300000,3.0,0,0,0,0,50,52,2
100,Retail,60,60,60,60,320000,3.2,0,0,0,0,60,62,3